title,url,summary,analyzed_content,tone,emotion,personality_hint
プチ改良シリーズ ♯4 ミックスすること,https://oatcs.net/oat/archives/2594,最近発見した坐骨のO-Pointですがかなり良い感触を得ています。脚がだるくなったり疲れやすくなる部位のパターンとして坐骨のO-Point論点から考えた場合例えば、大腿部後側〜ふくらはぎ、大腿部後側〜スネラインがあると思… 続きを読む →,坐骨のO-Pointを用いた脚の疲れに関する考察と、距骨のARCTの有効性についての研究の必要性を述べている。,専門的,前向き,著者は分析的で探求心が強く、知識を深めることに熱心な性格を持っている。
プチ改良シリーズ ♯3 前腕の骨間膜の矯正について,https://oatcs.net/oat/archives/2592,手関節屈曲・伸展・橈屈・尺屈制限がないのに前腕の回内・回外制限がある場合です。前処理として、筋・筋膜の治療を行いそれでも前腕の回内・回外制限が改善しない例はたくさんあります。今までもそのような症例に対しては以前臨床で使っ… 続きを読む →,前腕の回内・回外制限に対する新しい治療法を試み、その効果を実感した経験について述べている。,専門的,希望,著者は新しい治療法に対して前向きで、実践を重視する探求心がある。
プチ改良シリーズ ♯2 股関節屈曲障害のMAXISについて,https://oatcs.net/oat/archives/2590,ホルモンの関係で股関節に緩さが発生し、その後関節包が癒着してしまっている症例です。特に靴下を履く動作に不自由を感じています。痛みではなく硬さです。今までのやり方では改善度合いがイマイチな気がしていましたので何か思い浮かば… 続きを読む →,股関節の緩さと癒着に対する新しいアプローチを試し、改善が見られた症例について述べています。,専門的,希望,著者は問題解決に対して積極的で、患者の改善に情熱を持っている人柄のようです。
プチ改良シリーズ ♯1 肩関節周囲炎（拘縮期）について,https://oatcs.net/oat/archives/2586,肩関節周囲炎の後半にやってくることがある拘縮期、しかも最後まで残る症状が内旋障害です。痛みのためではなく硬さのためにできないという方が多いですね。それに対してのARCTやMAXISですが今までは内旋・外旋に特化したやり方… 続きを読む →,肩関節の内旋障害に対する新しいアプローチを試みた結果、可動域が改善した体験を共有しています。,実践的,安堵,著者は新しい方法を模索し、結果に対して前向きな姿勢を持つ探求心旺盛な人物である。
妊婦さんに対するSVOTと距骨のARCT,https://oatcs.net/oat/archives/2583,妊娠3ヶ月の患者さんが来院されました。主訴は腰痛です。問診、触診をを行ったところ過去の足首捻挫が判明しました。早速、足首のARCTとSVOTを行いました。おもしろいですねホルモンの関係で関節が緩いんです。しっかり関節を把… 続きを読む →,妊娠3ヶ月の患者の腰痛に対し、足首の治療を行い、患者の喜びを実感した体験を述べた記事。,専門的,喜び,著者は患者の健康に対して熱心で、治療の効果を実感できることに喜びを感じる親しみやすい性格の持ち主である。
連休の余韻に浸る間もなく,https://oatcs.net/oat/archives/2580,患者さんはご自分の症状改善に真面目で真剣です。今年のゴールデンウィークは例年よりも楽しく、英気を養うことができましたので私もやるぞという気持ちでいました。それ以上に患者さんの気持ちを感じました。もっともっと真剣に真摯にな… 続きを読む →,患者さんの真剣さに感化され、より一層努力しようと決意を新たにする著者の気持ちが表現されている。,前向き,決意,患者に対して真摯で、自己成長を大切にする熱心な性格が伺える。
BRDTの効果について ♯4,https://oatcs.net/oat/archives/2578,約1ヶ月前に来院された患者さん。「随分症状は改善されたけどこの猫背をもうすこし治して欲しい」とのことで前回BRDTを行いました。1ヶ月ぶりに見た瞬間、うわっ変わった　顔面の位置が違うって思いました。がしかしあえて何も言わ… 続きを読む →,患者の猫背改善を目指し、治療の進捗を確認しながらBRDTを行った様子を記述しています。,カジュアル,喜び,著者は患者の気持ちを大切にし、治療の過程を楽しむ柔軟な性格を持っているようです。
顔面神経麻痺について ♯4,https://oatcs.net/oat/archives/2575,本日来院されました。見た瞬間マスク越しですが明らかに改善しているのがわかりました。思わず「いいですね　左右差がなくなってきましたよね」すると「そうなんですよ　食事がしやすくなったのと、舌の感覚が戻ってきましたよ」と嬉しい… 続きを読む →,患者の改善が見られ、顔面部の左右差の原因を探るために眼科での診察を予定していることが述べられています。,前向き,嬉しさ,著者は患者の改善に喜びを感じつつ、問題解決に向けて積極的にアプローチする思考を持っているようです。
夫婦喧嘩と腰痛,https://oatcs.net/oat/archives/2572,月に一度メンテナンスで通院されている患者さん。以前はぎっくり腰を頻発していましたが、最近はだいぶ元気になっています。しかし、たまに急患として来院される時がありまして、その時の原因が夫婦喧嘩なのです。元々その患者さんに対し… 続きを読む →,患者の腰痛が夫婦喧嘩に起因することがあり、心因性腰痛の理解が進んでいることを述べている。,親しみやすい,安堵,著者は患者の心身の状態に対して深い理解を持ち、柔軟なアプローチを大切にする思いやりのある人柄である。
坐骨のO-Pointの効果について ♯2,https://oatcs.net/oat/archives/2570,毎日臨床にて行なっていますが、おもしろい発見が3つありました。先ずは治療前にベットに座って頂きあえて猫背になってもらいます。この感じを覚えてもらい坐骨のO-Pointに鍼を打ちます。治療後はなぜか猫背ができなくなっている… 続きを読む →,毎日の臨床での治療において、猫背の改善や足の温かさ、階段の降りが怖くなくなるなどの興味深い発見があった。,親しみやすい,驚き,著者は新しい発見を楽しむ好奇心旺盛な性格である。
顔面神経麻痺について ♯3,https://oatcs.net/oat/archives/2568,本日3回目の治療を行いました。パッと見た瞬間思わず言ってしまいました「〇〇さん、良くなってますね」「わかりますか❓　私もねなんか目の感じとか口の（口角）形が変わったかもって思ってたんですよ」そんな会話をして早速開始しまし… 続きを読む →,本日、3回目の治療を行い、患者の改善を実感しながら治療の注意事項を伝えた様子を描写しています。,フレンドリー,希望,著者は患者に対して優しく、丁寧に接する思いやりのある性格が伺えます。
坐骨のO-Pointの効果について ♯1,https://oatcs.net/oat/archives/2566,4/10に発見したこのPoint、毎日臨床で活用しています。前回受けた患者さん数名にお聞きしたところ色々興味深い感想をいただきました。他覚所見としては腰部の筋肉の負担がかなり軽減されてますね。それから、階段の昇降時、特に… 続きを読む →,4/10に発見したポイントが臨床での患者さんに良い影響を与えていることを報告している。,専門的,希望,著者は実践的で患者のフィードバックを重視する真面目な性格を持っている。
メンテナンス ♯52,https://oatcs.net/oat/archives/2563,昨日は2人の鍼灸師（Uさん、gさん）にメンテナンスをしてもらいました。前半はまずUさんに腰に鍼を打ってもらいました。2人はもうすでに悪いところに鍼先を当てることは全く問題なくできていますが、それは当たり前としてその次のそ… 続きを読む →,昨日は2人の鍼灸師にメンテナンスをしながら新しい鍼の技術を共有し、治療後の飲み会で盛り上がった様子を綴った記事です。,教育的,感謝,著者は熱心で協力的な性格を持ち、学びの場を大切にしているようです。
新たに2つのO-Pointを発見したかもしれません ♯3,https://oatcs.net/oat/archives/2559,本日も股関節の裏O-Pointに行いました。今まで腰痛を訴えている患者さんに対して、痛みに対しては鍼治療を行ってきてましたが、そのバリエーションが増えたことがとてもうれしいです。疼痛部位や患部にこだわるのはいいことですが… 続きを読む →,腰痛患者への鍼治療のバリエーションが増えたことに喜びを感じ、視野を広げて治療に取り組む意欲を表明している。,前向き,喜び,著者は柔軟で創造的な思考を持ち、治療方法の向上に熱心な性格である。
新たに2つのO-Pointを発見したかもしれません ♯2,https://oatcs.net/oat/archives/2556,股関節の裏O-Pointあれから多くの患者さんに行っております。かなりいいです。おかげでセイリンのGタイプ258の在庫の減りが早いです。いくつか気づいたことですが、例えば左右置鍼していると症状の軽い方から響いてくることが… 続きを読む →,股関節の裏O-Point治療が多くの患者に効果を示しており、今後の経過が楽しみであるという内容。,実践的,希望,著者は患者の反応を細かく観察し、向上心を持って治療に取り組む真面目な性格の持ち主と思われる。
顔面神経麻痺について ♯2,https://oatcs.net/oat/archives/2553,本日2回目でした。下がっていた顔面部が少し上がった感じがしました。ご本人も同じことを感じていたらしく、前回の続きを行いました。今日の気づきですが、今回左側の顔面神経麻痺ですが左側になる理由、原因があるんだなと思いました。… 続きを読む →,顔面神経麻痺の原因が生活習慣に関連していることに気づき、姿勢改善をアドバイスした体験を共有している。,反省的,発見,著者は観察力が鋭く、患者に対して思いやりを持ったアプローチをする性格である。
顔面神経麻痺について ♯1,https://oatcs.net/oat/archives/2550,先日、急性の顔面神経麻痺の患者さんが来院されました。元々はうちの患者さんで数年前まで通院されてました。顔面神経麻痺ですが今までわずか5例ほどしか治療した経験がありません。38年で5例・・・多いのか少ないのかですね。経験値… 続きを読む →,顔面神経麻痺の患者に対する治療経験を共有し、身体の疲れや肩こりが関連していることを説明している。,専門的,希望,著者は経験を重視し、患者に対して丁寧で思いやりのある治療を心掛けている。
新たに2つのO-Pointを発見したかもしれません ♯1,https://oatcs.net/oat/archives/2548,一つは頚椎のO-Pointです。最近発見したラインよりさらに外側、イメージとして胸鎖乳突筋の下をくぐる感じです。本日5名の患者さんに行ってみましたが直後に全員が後方に傾いてしまいました。（顎を引かないと後方に倒れてしまい… 続きを読む →,頚椎のO-PointとG-Pointエリアに関する新しい発見とその効果についての研究を紹介しています。,専門的,期待,著者は探究心が強く、新しい知識を追求する姿勢を持っていると推測されます。
7年ぶりの患者さん,https://oatcs.net/oat/archives/2544,その患者さんは現在カナダで暮らしています。約7年ぶりにお会いしました。懐かしかったですね前回は2017年4月ですから。お互いいい感じに歳を重ねていましたし・・・。またその患者さんの記憶力の良いこと　当時話した雑談までしっ… 続きを読む →,約7年ぶりにカナダ在住の患者さんと再会し、成長を感じながら治療に取り組んだ経験を振り返った記事です。,温かい,懐かしさ,著者は人とのつながりを大切にし、成長を重視する思いやりのある性格が伺えます。
ベーカー嚢腫になる誘因について考察 ♯1,https://oatcs.net/oat/archives/2542,現在3名のベーカー嚢腫の患者さんが3名通院されています。そのうちの2名の患者さんに共通してるのは大腰筋停止部の筋・筋膜の硬化・癒着です。その部分に258の鍼を打つとなぜか膝窩に響くのです。1人はダンス、もう1人はテニスを… 続きを読む →,ベーカー嚢腫の患者に共通する筋膜の硬化が、膝窩の痛みと関係している可能性を探る内容。,考察的,興味,著者は医学的な観察力があり、患者の状態に対して好奇心旺盛な性格を持っている。
メンテナンス ♯51,https://oatcs.net/oat/archives/2539,昨日は第1木曜日の会という名のメンテナンス日でした。2人の柔整師にやっていただきました。先ずは前回不参加だったYさんにBRDTを教えました。Yさんは元々ARCTやSVOTでの経験から感覚的にはできているので簡単に習得して… 続きを読む →,昨日はメンテナンス日で、柔整師と共に新しい手技を学び、楽しく治療談義を行った。,フレンドリー,楽しい,著者は学びや交流を大切にし、仲間との関係を楽しむ社交的な性格を持っている。
手首の新しいARCT,https://oatcs.net/oat/archives/2537,幼少期に自転車で転んだ時の手首の捻挫が今でも改善できずにテニス肘という診断名で来院され治療を行っていました。色々な治療を行い以前よりは改善していますが、前腕の回内・回外がイマイチでした。いつもは骨間膜の矯正手技を行ってい… 続きを読む →,幼少期の怪我が原因でテニス肘の治療を行い、手首の動きに関する新たな手技を発見したという内容。,興奮,発見,著者は探求心が強く、新しい知識や技術を追求する姿勢を持っている。
毎回悩みますね,https://oatcs.net/oat/archives/2534,筋・筋膜系の治療で身体の歪みが改善する部位は斜角筋、後頭下筋、腸腰筋、大腿筋膜腸筋、下腿外側筋間中隔などがあります。仰向けで寝た時に腰が浮いていたり、膝裏がベットから浮いていたりする場合で過去に外傷していたりする場合の仕… 続きを読む →,筋・筋膜系の治療が身体の歪みを改善する方法とその課題について述べている。,反省的,課題感,著者は治療の効果とその実施方法について真剣に考えている、慎重で向上心のある性格の持ち主である。
ある患者さんのこと,https://oatcs.net/oat/archives/2531,午前の最後の患者さんで、最近は元気になり月に1度の頻度で来院されています。他の患者さんもお帰りになりその方とのやり取りの中で、「先生、実は私鍼灸師になりたいです　実は4年前にある専門学校に入学金まで支払ったのですが、その… 続きを読む →,患者さんが鍼灸師を目指す決意を語り、著者はその夢を応援したいと感じたエピソード。,思いやり,励まし,著者は他者の夢を大切にし、支援したいと考える優しい性格の持ち主である。
BRDTの効果について ♯3,https://oatcs.net/oat/archives/2529,本日も数例行いました。ある患者さんが帰り際に「あらっ不思議　いつも後ろに手を回すと（肩関節の内旋）肩関節の前方が硬い感じがするんですけど今はスムーズですよ　えっなんで肩やってないのに・・・」でした。やはり肋骨の傾斜角に変… 続きを読む →,肋骨の傾斜角の変化が肩関節の動きに良い影響を与えることを患者が実感した事例を紹介している。,体験的,驚き,著者は患者の反応に敏感で、治療の効果を探求する好奇心旺盛な性格を持っている。
当たり前のことを疑ってみる,https://oatcs.net/oat/archives/2527,臨床ではなるべくその気持ちを持ち続けるようにしています。ここ最近疑っていた2つの事柄について書かせてもらいます。1.　SVOTでの仙腸関節を内転方向へ矯正したいときに、患者さんに膝をつけておくように指示しますがなかなか維… 続きを読む →,著者は臨床での実践を通じて得た気づきを2つ紹介し、簡単な工夫が効果的であることを反省しています。,反省的,安堵,著者は謙虚で、自身の学びを大切にする姿勢を持った人物である。
BRDTの効果について ♯2,https://oatcs.net/oat/archives/2525,本日も何例か行ってみました。興味深い感想で「背骨がムニュと動いたのがわかりました」と仰っていました。その患者さんは今まで距骨のARCTやSVOTを受けてきている時も「今なんか不思議な感じがしました」とか仰っていました。今… 続きを読む →,患者が施術後に背骨の動きを感じ、身体の変化を実感したことを紹介する記事です。,親しみやすい,驚き,著者は患者の体験に対して興味を持ち、前向きに捉える柔軟な性格を持っていると推測されます。
膝関節周辺疾患での階段降時の不安感の正体,https://oatcs.net/oat/archives/2521,この症状を訴えている患者さん少なくないと思います。「階段を登る時はいいんですけど降りるのが・・・」お話を詳しく聞くと痛みよりも怖さが先にある場合が多いですね。なぜ怖いのか❓昭和の時代は「それは太もも（大腿四頭筋）の筋力が… 続きを読む →,膝関節の屈曲変位が原因で階段を降りる際に感じる怖さについて、筋力訓練よりも変位の改善が重要であることを解説しています。,理論的,安心,著者は患者の不安を理解しつつ、最新の知識を基に実践的なアドバイスを提供する思慮深い性格である。
メンテナンス ♯50,https://oatcs.net/oat/archives/2518,昨日は第三木曜日、鍼灸師のお弟子にメンテナンスをしてもらいました。先ずgさんに最近流行っている鼠径部のO-Pointをしっかりやってもらいました。やはりいいですねあのエリアをしっかり258で行うことは仙骨の裏側痛に対して… 続きを読む →,鍼灸師のお弟子にメンテナンスを受け、治療技術や症状の追求について考察しつつ、楽しい時間を過ごした様子を綴った記事です。,親しみやすい,愉快,著者は熱心で学びに対して前向きな性格を持ち、周囲との交流を大切にする人です。
BRDTの効果について ♯1,https://oatcs.net/oat/archives/2516,新技発見、、かもしれません　この患者さんがいらっしゃいました。本番で踊っている動画を観させてもらいましたがなかなか良かったです。ご本人は腕の振りがコンパクトになって踊りやすくなったとのことです。おそらく肋骨の上で肩甲骨が… 続きを読む →,患者の踊りやすさが向上したが、左右差が気になるため次回はその点に焦点を当てる予定である。,具体的,希望,著者は患者の進歩を喜びつつ、課題に対しても真摯に向き合う姿勢を持っている。
土曜日は外部講師セミナーでした,https://oatcs.net/oat/archives/2513,今回は社内向けのテキストを作成しましたのでその確認作業を行いました。結構なボリューム感のある量でしたが一つ一つ確認して進めました。この資料が新入社員の方々にしっかりと伝わりグループ全体でしっかり活用してもらえたら嬉しいで… 続きを読む →,社内向けのテキストの確認作業を行い、新入社員に基礎的な内容をしっかり伝えたいと考えている。,丁寧,感謝,著者は新入社員を思いやり、協力を重んじる温かい性格の持ち主である。
明日は外部セミナー講師です,https://oatcs.net/oat/archives/2511,土曜日は外部セミナー講師でしたの続きになりますが、あれから資料作りに追われる日々を送っていました。やっと先日すべて完成しました。正直もっとスムーズにいくかと思いきや全くそうではなかったですね。その原因はやはり普段自分が行… 続きを読む →,外部セミナーの資料作りに苦労しつつも、完成を迎えた著者の思いを綴った記事です。,真剣,不安,著者は責任感が強く、他者の反応を気にかける繊細な性格の持ち主である。
BRDT（Breathing Rib Downward Technic）,https://oatcs.net/oat/archives/2505,昨日と今日で9例に行いましたが効果的でいい感じでしたので名前をつけました。BRDT（Breathing Rib Downward Technic）肋骨下方呼吸テクニックです。まだまだ発見したばかりですので大雑把ではありま… 続きを読む →,著者は新しい呼吸テクニック「BRDT」を発見し、その効果を実感している。,前向き,期待,著者は新しいアイデアに対して探求心が強く、熱意を持っている。
いつも勉強熱心なA.O先生が来院,https://oatcs.net/oat/archives/2503,今回はあぐらをかいた後の腰痛ということで治療を行いました。臨床でも多いですよね　そもそも股関節外旋位になっているパターンの患者さんに多い気がします。（A.O先生もそうです）うつ伏せからの展開で横向きをやるか、それとも仰向… 続きを読む →,あぐらをかいた後の腰痛の治療についてと、鍼治療の重要性についての考察を述べた記事。,専門的,感謝,著者は治療に対して真摯で、他者の努力を尊重する姿勢が見受けられる。
新しい肋骨の手技について,https://oatcs.net/oat/archives/2501,本日1例ですけどやってみました。敢えて何に対して行うのかを伝えずやってみました。先ずは座位にて術者は後方からその方の胸椎の後弯エリア（肋骨の上方変位）に第2〜4指を肋間部に軽く触れて前後屈、深呼吸、バンザイをやってもらい… 続きを読む →,施術後に患者が背中の軽さを実感し、バンザイがやりやすくなったという体験を共有する記事です。,実践的,嬉しさ,著者は患者の反応に喜びを感じ、改善を目指す前向きな性格を持っている。
メンテナンス ♯49,https://oatcs.net/oat/archives/2499,昨日はお弟子のYさんが体調不良のため残念ながら不参加でしたので、Nさんにしっかりメンテナンスをやってもらいました。先ずは復習というか確認というか、手技を行う上での基本の確認＆発展系という形で筋膜系に対することを行い、メン… 続きを読む →,昨日はNさんにメンテナンスを行い、肋骨の矯正法や治療家の方向性について話し合ったことを振り返る記事です。,フレンドリー,前向き,著者は熱心で、他者の成長を大切にする思いやりのある性格を持っていると推測される。
新技発見、、かもしれません,https://oatcs.net/oat/archives/2496,ある患者さんから肋骨の形を変えて欲しいとのリクエストがありました。私もその患者さんの肋骨は気にはなっていたのですが、距骨から始まり骨盤、頚椎と治療してきました。フラメンコをやっていらっしゃる方で演技をしている姿を動画で観… 続きを読む →,患者の肋骨の矯正を行い、効果を実感した治療の過程を紹介しています。,専門的,希望,著者は患者の健康に真剣に向き合い、実験的なアプローチを楽しむ探求心を持った人物である。
改めて感じること,https://oatcs.net/oat/archives/2493,ここ数日、臨床を行いながら外部セミナーで使う資料作りを並行してやっています。正直少し大変ですが、新たな気づきもありやって良かったなと思っています。それは自分が学生時代に使っていた教科書です。約40年前の書籍なのでボロボロ… 続きを読む →,著者は、外部セミナー用の資料作りを通じて、学生時代の教科書を再読し、臨床の原点を再確認したことを述べている。,思索的,懐かしさ,著者は過去の経験を大切にし、学び続ける姿勢を持った人である。
SVOT（仙腸関節振動圧迫法）の改良 ♯25,https://oatcs.net/oat/archives/2491,仙腸関節の内転・外転変異の矯正は今まではSVOTにおいては上半身の側屈動作が中心でしたが、前屈・後屈動作にもかなり有効だということがわかってきました。当然SVOT中は左右の膝を離さないことが大事です。しかも左右同時に行う… 続きを読む →,仙腸関節の矯正において、前屈・後屈動作が有効であることが示唆されている。,学術的,期待,著者は研究熱心で新しい知見を追求する姿勢を持っている。
頸部のO-Point、SVOT上方回旋,https://oatcs.net/oat/archives/2487,若干の改良を加えています。いい感じがしますね。先ずは頸部のO-Pointですが、もう少し下から鍼を打つと寄り良い感じがします。（セグメントC7外方）今まではC4〜6を中心でしたが。もっと範囲拡大とそもそもC7あたりから開… 続きを読む →,鍼治療に関する改良点とその効果についての考察が述べられている。,専門的,前向き,著者は実践的で向上心が強く、常に改善を追求する性格の持ち主である。
臨床においての「熱い心と冷めた頭」,https://oatcs.net/oat/archives/2485,ふと思ったんです。毎日の忙しさに流されていると、ちょっとしたことでイライラしたり、感謝心や感動することが薄くなってしまう。そんなことじゃいけないなとふと気づいたのです。臨床を行う上で、心はいつも熱くいたいですよね　この沸… 続きを読む →,毎日の忙しさの中で感謝や感動を忘れず、情熱と冷静さを持って臨床に取り組む重要性について考えた。,反省的,感謝,著者は自己反省をしつつ、真剣に臨床に向き合う熱心な性格を持っていると推測される。
手関節のARCT改良型,https://oatcs.net/oat/archives/2483,手関節の周りの軟部組織が改善しているにも関わらず、手関節の屈曲・伸展の可動制限がある場合の殆どが関節包内運動障害になります。今までも2種類で対応してきましたが、今回新たに発見しました。術者は尺骨に長軸圧をかけた状態で患者… 続きを読む →,手関節の可動制限に関する新しいアプローチを発見したことを報告しています。,専門的,希望,著者は探求心が強く、実験や研究を重視する性格の持ち主と推測されます。
特に斜角筋と腸腰筋、腸脛靭帯,https://oatcs.net/oat/archives/2480,この3筋・筋膜の硬化や癒着はいかにも関節がミスアライメントを起こしているように思わせます。ここ最近そんな経験をしています。尻もちをついて仙骨骨折の後遺症での腸腰筋の短縮がありました。程々に鍼を打ちながらSVOTを主体に行… 続きを読む →,筋膜の硬化や癒着に対する治療法の変化とその効果についての考察を述べている。,専門的,思索,著者は臨床に対する真摯な姿勢を持ち、柔軟な考え方を重視している。
SVOT（仙腸関節振動圧迫法）の改良 ♯24,https://oatcs.net/oat/archives/2478,最近SVOTマイナーチェンジを繰り返しています。やはり既存のやり方で改善している患者さんはいらっしゃいますが、さらにその上を目指すことは治療家にとっての使命でもあるからです。現状に少しでも満足してしまうことが一番良くない… 続きを読む →,SVOTのマイナーチェンジを通じて、治療の質を向上させることを目指していることを述べています。,前向き,希望,著者は向上心が強く、常に改善を追求する姿勢を持つ熱心な治療家であると推察されます。
SVOT（仙腸関節振動圧迫法）の改良 ♯23,https://oatcs.net/oat/archives/2475,改めてですが、SVOTを行うにあたって注意事項というか留意することとして書きます。外転変位・外転外旋変位を矯正する場合とにかく患者さんが膝関節を離さないことが大事です。この変位を持っている患者さんは上半身の回旋や側屈が苦… 続きを読む →,SVOTを行う際には、患者が膝関節を離さないように意識することが重要で、その効果が実感できるという内容です。,教訓的,励まし,著者は患者の状態を重視し、細かな配慮を大切にする真摯な性格の持ち主と推測されます。
土曜日は外部セミナー講師でした,https://oatcs.net/oat/archives/2473,今回も前回に引き続き社内のマニュアル作成作りのお手伝いでした。組織が大きくなればなるほど、治療のマニュアル化やシステムの効率化を求められると思います。同じ免許や資格を持っていても業務内容や責任の種類や大きさは違います。そ… 続きを読む →,社内のマニュアル作成を通じて、外部講師として治療の効率化と組織の成長を支援する重要性を語る記事です。,フレンドリー,尊敬,著者は熱意を持ちつつも自己反省ができる、思慮深い性格を持っている。
メンテナンス ♯48,https://oatcs.net/oat/archives/2470,昨日は「第3木曜日の会」鍼灸師の2人にメンテナンスをしてもらいました。先ずはgさんに腰・臀部に鍼を打ってもらいました。そしてUさんには横向きで臀部にやってもらいました。Uさんは前回から臨床で「点と線」を意識しながら鍼を打… 続きを読む →,昨日は鍼灸師の2人にメンテナンスを受け、特にgさんの技術の進化を実感しながら治療談義を楽しんだ。,親しみやすい,感謝,著者は学びを大切にし、他者の成長を喜ぶ思いやりのある性格を持っている。
SVOT（仙腸関節振動圧迫法）の改良 ♯22,https://oatcs.net/oat/archives/2468,昨日の続きですが、本日も数例行ってみました。外転・外旋変位、それから上方回旋・外転変位の患者さんでした。やはり二軸同時にSVOTを行うことはとても有効だと感じました。ヌルッと動きを感じるというか・・・うまい表現が見つかり… 続きを読む →,本日は、SVOTを用いた二軸同時の治療が有効であることを実感したという内容です。,専門的,興味,著者は治療に対して熱心で、実験的なアプローチを好む性格を持っていると推測される。
SVOT（仙腸関節振動圧迫法）の改良 ♯21,https://oatcs.net/oat/archives/2465,♯20の続きになりますが、SVOTにおいてやはり2軸を同時に矯正を行うとその患者さんの上半身の側屈可動域が改善することがわかりました。（回旋動作はまだ確認していません）感じとしては仙腸関節が外転・外旋変位しているところか… 続きを読む →,SVOTにおいて、2軸を同時に矯正することで患者の上半身の側屈可動域が改善されることが確認された。,専門的,期待,著者は実験的で探求心が強く、新しい方法を試すことに積極的な性格である。
SVOT（仙腸関節振動圧迫法）の改良 ♯20,https://oatcs.net/oat/archives/2463,1ヶ月ぐらい前からなんとなく気になっていたのですが、やりたいことはわかっていてもやり方が思い浮かばない日々が続いていました。本日ひらめいたので即行ってみたところなかなかの好感触でした。気になっていたことは仙腸関節の外転・… 続きを読む →,著者は仙腸関節の外転・外旋変位をSVOTで改善する方法をひらめき、初めて試した結果に満足している。,クリエイティブ,希望,著者は探求心が強く、新しいアイデアを試すことを楽しむ性格である。
久しぶりのO-Point ♯2,https://oatcs.net/oat/archives/2454,前回投稿の久しぶりのO-Point ♯1患者さんが来院されました。なんとあれから二週間まったく頭痛薬を飲んでいないそうです。それから痛かった腕の違和感もかなり改善しているとのことで良かったです。当然スッキリまではいってま… 続きを読む →,患者さんが頭痛薬を二週間飲まずに改善し、治療後の期待感を持っている様子を報告しています。,ポジティブ,安堵,著者は患者の改善を心から喜び、治療に対して前向きな姿勢を持っている優しい性格の持ち主である。
SVOT（仙腸関節振動圧迫法）の改良 ♯19,https://oatcs.net/oat/archives/2452,前回の投稿SVOT（仙腸関節振動圧迫法）の改良 ♯17の続きです。この患者さんが来院されまして、前回の治療後とても良かったとのことでした。安心したと同時に、変位を間違えてはいけないと改めて思いました。その方はエアロのイン… 続きを読む →,SVOT治療の効果が患者に現れ、さらなる治療の方向性について考察している。,専門的,安堵,著者は患者の改善を重視し、慎重かつ前向きに治療に取り組む性格の持ち主である。
棘上筋痛と骨盤の内転変位との関係,https://oatcs.net/oat/archives/2450,数年前に棘上筋断裂で手術をした患者さんです。それ以降当院で治療を行っていましたがテニスをするとどうしてもまた棘上筋が硬化してしまう傾向がありました。前回（12月上旬）仙腸関節の内転変位を疑いSVOTを行いました。本日来院… 続きを読む →,棘上筋断裂の手術を受けた患者の治療経過と仰向けで寝ることの重要性について述べられています。,知的,安堵,著者は患者の健康を気遣い、治療に対して真摯な姿勢を持っていると推測される。
メンテナンス ♯49,https://oatcs.net/oat/archives/2446,昨日は「第一木曜日の会」でした。2人の柔整師にメンテナンスをしてもらいました。昨日は、3人でここ10年ぐらいの手技研究の歴史をさかのぼってみました。すっかり忘れているものですね。特にここ最近行っているSVOTやARCTの… 続きを読む →,昨日の「第一木曜日の会」で、手技研究の歴史を振り返りながらメンテナンスを受け、新たな評価を発見しつつ楽しい治療談義を交わした様子を綴った記事です。,カジュアル,楽しい,著者は知的好奇心が旺盛で、人との交流を大切にする社交的な性格の持ち主と推測されます。
改善されている患者さんとの会話,https://oatcs.net/oat/archives/2443,その患者さんは長年の腰痛がかなり改善して、最近は色々やりたいことができているそうで良かったです。去年定年退職して、しばらくはのんびりしていたものの、最近は色々とやりたいことができるようになって喜んでいましたが治療に来ると… 続きを読む →,患者の腰痛が改善し、活動的になったことを喜びながら、治療における信頼関係を大切にする医師の姿勢が描かれている。,対話的,喜び,著者は患者との信頼関係を重視し、思いやりのある親しみやすい性格である。
いつも勉強熱心なA.O先生が来院,https://oatcs.net/oat/archives/2440,本日も治療中に写真を撮ったり、臨床家としての日常生活の話など色々お話できて楽しかったです。治療を行う上でうち伏せ、横向き、仰向けがありますがそれを行う意味を瞬時に深く考え、洞察すること。それが治療時間の短縮、治療期間の短… 続きを読む →,治療中の体位についての考察と臨床家としての日常を楽しむ様子が描かれている。,カジュアル,楽しさ,著者は臨床の楽しさを感じながら、学びや交流を大切にする熱心な性格を持っている。
久しぶりのO-Point ♯1,https://oatcs.net/oat/archives/2438,長年右側の頭痛に悩まされている患者さん。10代の頃からの側湾症もあり独特の筋・筋膜支持をしています。数回治療を行っていましたが、主訴である右側の頭痛ですが軽減はしますが改善までには至ってませんでした。あれこれ毎回考えます… 続きを読む →,右側の頭痛に悩む患者に対する治療中に、新たな鍼治療のポイントを発見した経験を綴った記事です。,親しみやすい,希望,著者は探求心が強く、患者の反応を重視する思いやりのある性格を持っているようです。
SVOT（仙腸関節振動圧迫法）の改良 ♯18,https://oatcs.net/oat/archives/2436,その患者さんは前回、SVOTで外転変位していると判断し矯正を行いました。がしかし、今回改めてお話をお聞きすると内転変位ではないかと思い、矯正を行なった時の患者さんのリアクションでその方が正しかったことがわかりました。その… 続きを読む →,患者の姿勢の問題を再評価し、適切な矯正を行った結果、患者が喜んだという経験が述べられています。,反省的,喜び,著者は患者の状態を細かく観察し、改善に真剣に取り組む思いやりのある性格の持ち主のようです。
